actiune, data_executie
Afisare Meniu Catalog,2022/05/11 23:54:41
Afisare File Catalog,2022/05/11 23:54:51
Afisare Meniu Catalog,2022/05/12 00:02:17
Afisare File Catalog,2022/05/12 00:02:20
Afisare Meniu Catalog,2022/05/12 00:03:46
Afisare File Catalog,2022/05/12 00:03:49
Afisare Meniu Catalog,2022/05/12 00:05:23
Afisare File Catalog,2022/05/12 00:05:26
Afisare Meniu Catalog,2022/05/12 00:07:46
Afisare File Catalog,2022/05/12 00:07:50
Afisare Meniu Catalog,2022/05/12 00:11:12
Afisare File Catalog,2022/05/12 00:11:13
Afisare Meniu Catalog,2022/05/12 00:16:27
Afisare Meniu Catalog,2022/05/12 00:18:00
Afisare Meniu Catalog,2022/05/12 00:19:45
Afisare Meniu Catalog,2022/05/12 00:20:37
Afisare File Catalog,2022/05/12 00:20:39
Afisare Meniu Catalog,2022/05/12 00:22:46
Afisare File Catalog,2022/05/12 00:22:48
Afisare Meniu Catalog,2022/05/12 00:23:13
Citire date Contact,2022/05/12 00:23:30
Afisare Meniu Catalog,2022/05/12 00:24:54
Afisare File Catalog,2022/05/12 00:24:56
Citire date Contact,2022/05/12 00:25:25
Citire date Adresa,2022/05/12 00:25:56
Afisare Meniu Catalog,2022/05/12 00:28:03
Afisare Meniu Utilizatori,2022/05/12 00:28:57
Afisare Meniu Student,2022/05/12 00:28:59
Afisare Meniu Utilizatori,2022/05/12 00:33:20
Afisare Meniu Student,2022/05/12 00:33:22
Afisare Meniu Utilizatori,2022/05/12 00:34:24
Afisare Meniu Student,2022/05/12 00:34:27
Afisare Meniu Catalog,2022/05/12 00:35:10
Afisare Meniu Catalog,2022/05/12 00:36:01
Afisare Meniu Utilizatori,2022/05/12 00:37:29
Afisare Meniu Student,2022/05/12 00:37:31
Afisare Meniu Utilizatori,2022/05/12 00:48:26
Afisare Meniu Student,2022/05/12 00:48:28
Afisare Meniu Catalog,2022/05/12 00:48:43
Afisare Meniu Catalog,2022/05/12 00:53:51
Afisare File Catalog,2022/05/12 00:53:53
Citire date Contact,2022/05/12 00:54:09
Citire date Adresa,2022/05/12 00:54:22
Citire date Sala,2022/05/12 00:54:49
Citire date Materie,2022/05/12 00:54:49
Citire date Contact,2022/05/12 00:55:03
Citire date Adresa,2022/05/12 00:55:13
Adaugare fila in Catalog,2022/05/12 00:55:13
Afisare File Catalog,2022/05/12 00:55:16
Afisare Fila Catalog dupa ID,2022/05/12 00:55:20
Inchidere meniu Catalog,2022/05/12 00:55:22
Afisare Meniu Utilizatori,2022/05/12 00:55:24
Afisare Meniu Student,2022/05/12 00:55:29
Citire date Contact,2022/05/12 00:55:58
Citire date Adresa,2022/05/12 00:56:08
Citire date Student,2022/05/12 00:56:08
Afisare Student dupa ID,2022/05/12 00:56:25
Incarcare date din CSV,2022/05/12 01:01:42
Afisare Meniu Utilizatori,2022/05/12 01:01:47
Afisare Meniu Student,2022/05/12 01:01:48
Afisare Student dupa ID,2022/05/12 01:01:51
Incarcare date din CSV,2022/05/12 01:04:10
Afisare Meniu Catalog,2022/05/12 01:04:13
Citire date Contact,2022/05/12 01:04:37
Citire date Adresa,2022/05/12 01:04:46
Citire date Sala,2022/05/12 01:05:21
Citire date Materie,2022/05/12 01:05:21
Citire date Contact,2022/05/12 01:05:31
Citire date Adresa,2022/05/12 01:05:38
Adaugare fila in Catalog,2022/05/12 01:05:38
Afisare File Catalog,2022/05/12 01:05:41
Inchidere meniu Catalog,2022/05/12 01:05:44
Afisare Meniu Utilizatori,2022/05/12 01:05:47
Afisare Meniu Student,2022/05/12 01:05:52
Afisare Student dupa ID,2022/05/12 01:06:01
Inchidere meniu Student,2022/05/12 01:06:05
Inchidere meniu utilizatori,2022/05/12 01:06:07
Se inchide aplicatia,2022/05/12 01:06:09
